id;name;phone_number;address;fair_repair_rating;services
1;Summit quantify Metal;fault-tolerant architectures;Chips;74277;DETAILING
2;grey;1080p;Specialist;24081;PPF
3;core Streamlined;THX Sports;Account mesh;44987;AIR_FILTER
4;Station;5th Corporate;target program;919;CERAMIC_COATING
5;Shoes Account 5th;Cotton payment;integrated;82106;TIRE_ROTATION
6;Berkshire;Virginia multimedia;Camp Chicken;62300;PPF
7;Intelligent mindshare;Senior violet;Dong;83179;OIL_CHANGE
8;Avon;deposit;emulation UAE;9050;DETAILING
9;Steel Identity;Dollar architectures RAM;Rustic robust;63454;AIR_FILTER
10;Knoll;Mongolia;withdrawal;26201;TINT
