id;make;model;license_number;mileage;vehicle_year
1;SMS Shoes;Vision-oriented;Operative 1080p;6048;718
2;Creative Chicken;overriding;Bedfordshire silver;99308;5991
3;invoice backing;index Architect JSON;Riyal programming;84161;61394
4;Mills gold;Kentucky SDD;bus Tugrik knowledge;82115;60470
5;Human mobile Arkansas;Home;Bacon;77184;30634
6;Future;Arizona;Mouse Pizza Drive;12240;82313
7;green;parse Tasty deposit;needs-based;74625;53578
8;synthesizing Electronics;Representative drive Cloned;client-server;59250;46042
9;Customer auxiliary;structure Decentralized override;Multi-channelled Metal interface;74584;50061
10;invoice Account;compress;Unbranded;6801;46843
